Time Series,,,,,,,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
FCE,Finished Consultant Episodes,,,,,," 8,416,673 "," 8,898,744 "," 9,091,323 "," 9,614,508 "," 10,097,884 "," 10,313,379 "," 10,923,489 "," 11,072,003 "," 11,532,895 "," 11,983,893 "," 12,196,270 "," 12,264,676 "," 12,337,724 "," 12,712,153 "," 13,295,166 "," 13,706,450 "," 14,423,506 "," 14,784,581 "," 15,359,062 "," 16,232,579 "," 16,806,196 "," 17,269,882 "," 17,465,425 "," 17,715,046 "," 18,163,101 "," 18,731,987 "," 19,239,608 "," 19,726,907 "," 20,030,870 "," 20,760,699 "," 20,912,276 "," 16,168,689 "
FAE,Finished Admission Episodes,,,,,," 7,954,427 "," 8,412,097 "," 8,577,938 "," 9,157,002 "," 9,588,629 "," 9,761,465 "," 10,247,939 "," 10,250,421 "," 10,570,325 "," 11,016,652 "," 11,149,354 "," 11,116,160 "," 11,077,270 "," 11,372,571 "," 11,809,017 "," 12,101,986 "," 12,678,628 "," 12,976,273 "," 13,479,828 "," 14,152,692 "," 14,537,712 "," 14,890,844 "," 15,019,396 "," 15,145,633 "," 15,462,057 "," 15,892,457 "," 16,251,841 "," 16,546,667 "," 16,622,939 "," 17,127,498 "," 17,202,558 "," 12,813,120 "
